<!DOCTYPE html>,GoalWeek,season_x
"<script type=""application/json"" id=""client-env"">{""locale"":""en"",""featureFlags"":[""code_vulnerability_scanning"",""copilot_beta_features_opt_in"",""copilot_chat_conversation_intent_knowledge_search_skill"",""copilot_chat_static_thread_suggestions"",""copilot_completion_new_domain"",""copilot_conversational_ux_history_refs"",""copilot_copy_message"",""copilot_followup_to_agent"",""copilot_implicit_context"",""copilot_smell_icebreaker_ux"",""experimentation_azure_variant_endpoint"",""failbot_handle_non_errors"",""geojson_azure_maps"",""ghost_pilot_confidence_truncation_25"",""ghost_pilot_confidence_truncation_40"",""ghost_pilot_stream_handling"",""hovercard_accessibility"",""hovercard_longer_activate_timeout"",""marketing_pages_search_explore_provider"",""remove_child_patch"",""report_hydro_web_vitals"",""sample_network_conn_type"",""site_metered_billing_update""]}</script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/wp-runtime-b76cffd15dc8.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_dompurify_dist_purify_js-89a69c248502.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_oddbird_popover-polyfill_dist_popover_js-56729c905fe2.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_github_arianotify-polyfill_ariaNotify-polyfill_js-node_modules_github_mi-247092-627b030d3acc.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/environment-924e60bca7d2.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_github_selector-observer_dist_index_esm_js-f690fd9ae3d5.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_behaviors_dist_esm_focus-zone_js-c9086a4fb62b.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_github_relative-time-element_dist_index_js-7b95699705bc.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_behaviors_dist_esm_anchored-position_js-node_modules_fzy_js_index-192fd2-a07608c791cf.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_github_auto-complete-element_dist_index_js-node_modules_github_details-d-ed9a97-841122a1e9d4.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_github_text-expander-element_dist_index_js-cd48220d74d5.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_github_mini-throttle_dist_index_js-node_modules_delegated-events_dist_in-3efda3-701acb69193f.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_github_filter-input-element_dist_index_js-node_modules_github_remote-inp-2e8678-34feeec9c894.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_github_catalyst_lib_index_js-node_modules_github_clipboard-copy-element_-782ca5-54763cd55b96.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_github_file-attachment-element_dist_index_js-node_modules_primer_view-co-10eecb-16f8d12ecd9c.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/ui_packages_onfocus_onfocus_ts-ui_packages_trusted-types-policies_policy_ts-ui_packages_trust-0eb5c4-372296785620.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/github-elements-508a45ca23c6.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/element-registry-9f227dd13b7b.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_github_catalyst_lib_index_js-node_modules_github_hydro-analytics-client_-7901e7-dc88587c14ed.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_braintree_browser-detection_dist_browser-detection_js-node_modules_stack-68835d-a18220f1db8d.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_lit-html_lit-html_js-ce7225a304c5.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_github_mini-throttle_dist_index_js-node_modules_morphdom_dist_morphdom-e-7c534c-f8a5485c982a.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_github_turbo_dist_turbo_es2017-esm_js-858e043fcf76.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_github_remote-form_dist_index_js-node_modules_delegated-events_dist_inde-893f9f-6cf3320416b8.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_scroll-anchoring_dist_scroll-anchoring_esm_js-node_modules_github_hotkey-1a1d91-fa9f29a8514b.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_color-convert_index_js-0e07cc183eed.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_github_session-resume_dist_index_js-node_modules_primer_behaviors_dist_e-ba698a-df35a0bdc37f.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_github_quote-selection_dist_index_js-node_modules_github_textarea-autosi-d20204-7a21f3a00e9d.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/ui_packages_updatable-content_updatable-content_ts-a2009221d154.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/app_assets_modules_github_behaviors_task-list_ts-app_assets_modules_github_sso_ts-ui_packages-e1ce06-edefc63ea355.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/app_assets_modules_github_sticky-scroll-into-view_ts-112600808cf9.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/app_assets_modules_github_behaviors_ajax-error_ts-app_assets_modules_github_behaviors_include-467754-8979fbf79bf6.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/app_assets_modules_github_behaviors_commenting_edit_ts-app_assets_modules_github_behaviors_ht-83c235-aeae6fcdf371.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/app_assets_modules_github_blob-anchor_ts-app_assets_modules_github_jump-to_page-views_ts-ui_p-38f236-6918e89ea155.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/behaviors-99e1886f0977.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_delegated-events_dist_index_js-node_modules_github_catalyst_lib_index_js-06ff531-bf7e5a3732fd.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/notifications-global-54f34167118d.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_github_mini-throttle_dist_index_js-node_modules_github_catalyst_lib_inde-dbbea9-e73b311a14f1.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/app_assets_modules_github_repositories_get-repo-element_ts-78999cbaea69.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/code-menu-a8d08997ac4f.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/react-lib-7b7b5264f6c1.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_github_mini-throttle_dist_index_js-node_modules_primer_octicons-react_di-b40d97-2d816f3aa913.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_lib-esm_Box_Box_js-55a9038b54f0.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_lib-esm_Button_Button_js-b0edbfb6a9e5.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_lib-esm_TooltipV2_Tooltip_js-4d5019830e3c.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_node_modules_primer_octicons-react_dist_index_esm_mjs-a5155473fc69.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_lib-esm_ActionList_index_js-fd5a7039f225.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_lib-esm_Text_Text_js-node_modules_primer_react_lib-esm_Text-7845da-9371f5bac483.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_lib-esm_ActionMenu_ActionMenu_js-node_modules_primer_react_-5b2420-50d72766db7f.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_lib-esm_FormControl_FormControl_js-1f51ab2bdcca.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_react-router-dom_dist_index_js-c5568c29d405.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_lib-esm_ConfirmationDialog_ConfirmationDialog_js-099e8bfead83.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_lib-esm_Heading_Heading_js-node_modules_primer_react_lib-es-cdb604-830a604eb974.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_lib-esm_PageLayout_PageLayout_js-9928dec2ff12.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_behaviors_dist_esm_anchored-position_js-node_modules_primer_react-4d507b-85f1dac4ce7d.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_lib-esm_TreeView_TreeView_js-163f241772cf.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_lib-esm_AvatarStack_AvatarStack_js-node_modules_primer_reac-cd52f5-74c7988b9eb4.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_behaviors_dist_esm_scroll-into-view_js-node_modules_primer_react_-3602e6-08dffc43caa6.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/ui_packages_react-core_create-browser-history_ts-ui_packages_safe-storage_safe-storage_ts-ui_-682c2c-40bb20608465.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/ui_packages_react-core_register-app_ts-6857ea187add.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/ui_packages_paths_index_ts-d1e89600e343.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/ui_packages_ref-selector_RefSelector_tsx-7b0796d1324c.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/ui_packages_code-view-shared_hooks_shortcuts_ts-ui_packages_code-view-shared_utilities_web-wo-e3361d-b2e98425b7b2.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/ui_packages_code-view-shared_hooks_use-canonical-object_ts-ui_packages_code-view-shared_hooks-1e704e-031c9f657499.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/ui_packages_repos-file-tree-view_repos-file-tree-view_ts-ui_packages_feature-request_FeatureR-ec5225-81288de2a37f.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/react-code-view-0e863b52fc4e.js""></script>",3,2024_25
"<link crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" href=""https://github.githubassets.com/assets/primer-react-css.8570b2718b0a9c0c8387.module.css"" />",3,2024_25
"<link crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" href=""https://github.githubassets.com/assets/react-code-view.0c44c510c8fe603a5ebe.module.css"" />",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/react-lib-7b7b5264f6c1.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_github_mini-throttle_dist_index_js-node_modules_primer_octicons-react_di-b40d97-2d816f3aa913.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_lib-esm_Box_Box_js-55a9038b54f0.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_lib-esm_Button_Button_js-b0edbfb6a9e5.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_lib-esm_TooltipV2_Tooltip_js-4d5019830e3c.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_node_modules_primer_octicons-react_dist_index_esm_mjs-a5155473fc69.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_lib-esm_ActionList_index_js-fd5a7039f225.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_lib-esm_Text_Text_js-node_modules_primer_react_lib-esm_Text-7845da-9371f5bac483.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_lib-esm_ActionMenu_ActionMenu_js-node_modules_primer_react_-5b2420-50d72766db7f.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_lib-esm_FormControl_FormControl_js-1f51ab2bdcca.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_lib-esm_FilteredActionList_FilteredActionList_js-5a52bf212e2b.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/vendors-node_modules_primer_react_lib-esm_Dialog_js-node_modules_primer_react_lib-esm_Feature-cdf735-4b63b6308961.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/ui_packages_react-core_create-browser-history_ts-ui_packages_safe-storage_safe-storage_ts-ui_-682c2c-40bb20608465.js""></script>",3,2024_25
"<script crossorigin=""anonymous"" defer=""defer"" type=""application/javascript"" src=""https://github.githubassets.com/assets/notifications-subscriptions-menu-cde68a063f90.js""></script>",3,2024_25
"<link crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" href=""https://github.githubassets.com/assets/primer-react-css.8570b2718b0a9c0c8387.module.css"" />",3,2024_25
"<link crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" href=""https://github.githubassets.com/assets/notifications-subscriptions-menu.1bcff9205c241e99cff2.module.css"" />",3,2024_25
<title>Fantasy-Premier-League/data/2024-25/gws/gw3.csv at master · vaastav/Fantasy-Premier-League · GitHub</title>,3,2024_25
"<meta name=""route-pattern"" content=""/:user_id/:repository/blob/*name(/*path)"" data-turbo-transient>",3,2024_25
"<meta name=""route-controller"" content=""blob"" data-turbo-transient>",3,2024_25
"<meta name=""route-action"" content=""show"" data-turbo-transient>",3,2024_25
"<meta name=""current-catalog-service-hash"" content=""f3abb0cc802f3d7b95fc8762b94bdcb13bf39634c40c357301c4aa1d67a256fb"">",3,2024_25
"<meta name=""request-id"" content=""EB34:1CC82F:ABF003:DEBD62:66DF4CEB"" data-pjax-transient=""true""/><meta name=""html-safe-nonce"" content=""3fb1e7cfb4c59905217c1feb065d0347b16807199161d60ebd1c50cd6771a1a9"" data-pjax-transient=""true""/><meta name=""visitor-payload"" content=""eyJyZWZlcnJlciI6IiIsInJlcXVlc3RfaWQiOiJFQjM0OjFDQzgyRjpBQkYwMDM6REVCRDYyOjY2REY0Q0VCIiwidmlzaXRvcl9pZCI6IjIyMzMyOTczNjY4ODI5Mjk4OTgiLCJyZWdpb25fZWRnZSI6InNvdXRoYWZyaWNhbm9ydGgiLCJyZWdpb25fcmVuZGVyIjoic291dGhhZnJpY2Fub3J0aCJ9"" data-pjax-transient=""true""/><meta name=""visitor-hmac"" content=""1e34e48572374f8607428ff82afab2ae28b3793ebce4074759bdeda6bc156bb0"" data-pjax-transient=""true""/>",3,2024_25
"<meta name=""hovercard-subject-tag"" content=""repository:24128688"" data-turbo-transient>",3,2024_25
"<meta name=""github-keyboard-shortcuts"" content=""repository,source-code,file-tree,copilot"" data-turbo-transient=""true"" />",3,2024_25
"<meta name=""selected-link"" value=""repo_source"" data-turbo-transient>",3,2024_25
"<link rel=""assets"" href=""https://github.githubassets.com/"">",3,2024_25
"<meta name=""google-site-verification"" content=""Apib7-x98H0j5cPqHWwSMm6dNU4GmODRoqxLiDzdx9I"">",3,2024_25
"<meta name=""octolytics-url"" content=""https://collector.github.com/github/collect"" />",3,2024_25
"<meta name=""analytics-location"" content=""/&lt;user-name&gt;/&lt;repo-name&gt;/blob/show"" data-turbo-transient=""true"" />",3,2024_25
"<meta name=""user-login"" content="""">",3,2024_25
"<meta name=""viewport"" content=""width=device-width"">",3,2024_25
"<meta name=""description"" content=""Creates a .csv file of all players in the English Player League with their respective team and total fantasy points - Fantasy-Premier-League/data/2024-25/gws/gw3.csv at master · vaastav/Fantasy-Premier-League"">",3,2024_25
"<link rel=""search"" type=""application/opensearchdescription+xml"" href=""/opensearch.xml"" title=""GitHub"">",3,2024_25
"<link rel=""fluid-icon"" href=""https://github.com/fluidicon.png"" title=""GitHub"">",3,2024_25
"<meta property=""fb:app_id"" content=""1401488693436528"">",3,2024_25
"<meta name=""apple-itunes-app"" content=""app-id=1477376905, app-argument=https://github.com/vaastav/Fantasy-Premier-League/blob/master/data/2024-25/gws/gw3.csv"" />",3,2024_25
"<meta name=""twitter:image:src"" content=""https://opengraph.githubassets.com/13599c61488e11388c7cffbd7e0daee56acd318a7f3161491437f9c4f17033c9/vaastav/Fantasy-Premier-League"" /><meta name=""twitter:site"" content=""@github"" /><meta name=""twitter:card"" content=""summary_large_image"" /><meta name=""twitter:title"" content=""Fantasy-Premier-League/data/2024-25/gws/gw3.csv at master · vaastav/Fantasy-Premier-League"" /><meta name=""twitter:description"" content=""Creates a .csv file of all players in the English Player League with their respective team and total fantasy points - vaastav/Fantasy-Premier-League"" />",3,2024_25
"<meta property=""og:image"" content=""https://opengraph.githubassets.com/13599c61488e11388c7cffbd7e0daee56acd318a7f3161491437f9c4f17033c9/vaastav/Fantasy-Premier-League"" /><meta property=""og:image:alt"" content=""Creates a .csv file of all players in the English Player League with their respective team and total fantasy points - vaastav/Fantasy-Premier-League"" /><meta property=""og:image:width"" content=""1200"" /><meta property=""og:image:height"" content=""600"" /><meta property=""og:site_name"" content=""GitHub"" /><meta property=""og:type"" content=""object"" /><meta property=""og:title"" content=""Fantasy-Premier-League/data/2024-25/gws/gw3.csv at master · vaastav/Fantasy-Premier-League"" /><meta property=""og:url"" content=""https://github.com/vaastav/Fantasy-Premier-League/blob/master/data/2024-25/gws/gw3.csv"" /><meta property=""og:description"" content=""Creates a .csv file of all players in the English Player League with their respective team and total fantasy points - vaastav/Fantasy-Premier-League"" />",3,2024_25
"<meta name=""hostname"" content=""github.com"">",3,2024_25
"<meta name=""expected-hostname"" content=""github.com"">",3,2024_25
"<meta http-equiv=""x-pjax-version"" content=""b0a95b6c210f796280fd14d62469c1ab872fa3ae993ccee7d0a6a990c91161ab"" data-turbo-track=""reload"">",3,2024_25
"<meta http-equiv=""x-pjax-csp-version"" content=""43bc2a0e2750a1219c17b5bf1ec22aae37041bbc018bc5e27bb7708f80e7ab88"" data-turbo-track=""reload"">",3,2024_25
"<meta http-equiv=""x-pjax-css-version"" content=""961166ccc4127a6adbd081f69c493995473e8519e7a1ed9cee679bc85a1f44f5"" data-turbo-track=""reload"">",3,2024_25
"<meta http-equiv=""x-pjax-js-version"" content=""f1a7cac49aa4c19ac0ca96dd6f9ef7613dc3b2c7a7c02691d004077e9e2eb772"" data-turbo-track=""reload"">",3,2024_25
"<meta name=""turbo-cache-control"" content=""no-preview"" data-turbo-transient="""">",3,2024_25
"<meta name=""turbo-cache-control"" content=""no-cache"" data-turbo-transient>",3,2024_25
"<meta data-hydrostats=""publish"">",3,2024_25
"<meta name=""go-import"" content=""github.com/vaastav/Fantasy-Premier-League git https://github.com/vaastav/Fantasy-Premier-League.git"">",3,2024_25
